,account.length,voice.plan,voice.messages,intl.plan,intl.mins,intl.calls,intl.charge,day.mins,day.calls,day.charge,eve.mins,eve.calls,eve.charge,night.mins,night.calls,night.charge,customer.calls,churn
25,132,no,0,no,10.3,2,2.78,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,0,0
26,174,no,0,no,15.5,5,4.19,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,3,0
27,57,yes,39,no,9.5,3,2.57,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,0,0
28,54,no,0,no,14.7,4,3.97,134.3,73,30.65350090126179,155.5,100,13.22,102.1,68,4.59,3,0
29,20,no,0,no,6.3,6,1.7,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,0,0
30,49,no,0,no,11.1,1,3.0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,1,0
31,142,no,0,no,14.2,6,3.83,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,2,0
32,75,no,0,no,10.3,5,2.78,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,1,0
34,12,no,0,no,11.8,3,3.19,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,1,1
35,57,yes,25,no,8.3,4,2.24,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,0,0
36,72,yes,37,no,14.7,6,3.97,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,3,0
37,36,yes,30,no,14.5,6,3.92,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,0,0
38,78,no,0,no,10.0,5,2.7,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,1,0
39,136,yes,33,yes,10.5,6,2.84,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,3,0
40,149,no,0,no,11.1,9,3.0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,1,0
41,98,no,0,no,9.4,2,2.54,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,3,0
42,135,yes,41,yes,14.6,15,3.94,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,0,1
43,34,no,0,no,10.0,4,2.7,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,2,0
44,160,no,0,no,9.2,4,2.48,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,3,0
45,64,no,0,no,3.5,3,0.95,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,1,0
46,59,yes,28,no,8.5,5,2.3,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,2,0
47,65,no,0,no,13.2,5,3.56,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,3,0
48,142,no,0,no,7.4,5,2.0,187.0,133,30.65350090126179,134.6,74,11.44,242.2,127,10.9,2,0
49,119,no,0,no,8.8,3,2.38,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,5,1
50,97,yes,24,no,11.0,3,2.97,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,1,0
51,52,no,0,no,7.8,5,2.11,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,3,0
52,60,no,0,no,6.8,3,1.84,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,1,0
53,10,no,0,no,11.4,6,3.08,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,2,0
54,96,no,0,no,9.3,5,2.51,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,2,0
55,87,no,0,no,9.7,3,2.62,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,5,1
56,81,no,0,no,10.2,3,2.75,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,1,0
57,141,no,0,no,8.0,2,2.16,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,1,0
58,121,yes,30,no,5.8,3,1.57,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,3,1
60,125,no,0,no,12.0,8,3.24,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,1,0
61,174,no,0,no,11.4,4,3.08,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,1,0
62,116,yes,34,no,11.6,3,3.13,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,2,0
63,74,yes,33,no,14.6,3,3.94,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,2,0
64,149,yes,28,no,12.6,3,3.4,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,3,0
65,38,no,0,no,8.2,6,2.21,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,2,0
66,40,yes,41,no,6.2,5,1.67,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,2,0
67,43,no,0,yes,9.3,4,2.51,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,0,0
68,113,no,0,yes,8.3,8,2.24,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,0,0
69,126,no,0,no,7.8,1,2.11,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,1,0
70,150,no,0,no,13.8,3,3.73,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,4,1
71,138,no,0,no,11.8,7,3.19,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,3,0
73,147,no,0,no,8.0,4,2.16,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,3,0
74,90,no,0,no,7.3,4,1.97,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,1,0
75,85,no,0,no,12.0,3,3.24,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,0,0
76,50,no,0,no,6.1,2,1.65,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,1,0
77,82,no,0,no,11.7,4,3.16,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,0,1
78,144,no,0,no,8.2,7,2.21,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,4,1
79,46,no,0,no,8.2,3,2.21,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,2,0
80,70,no,0,no,15.0,2,4.05,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,1,0
81,144,no,0,no,13.2,2,3.56,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,1,0
82,116,no,0,yes,12.6,5,3.4,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,3,0
83,55,yes,25,no,11.0,2,2.97,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,3,0
84,70,yes,24,no,9.8,4,2.65,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,1,0
85,106,no,0,no,12.4,1,3.35,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,2,1
86,128,yes,29,no,8.6,7,2.32,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,0,0
87,94,no,0,no,8.0,5,2.16,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,4,1
88,111,no,0,no,12.0,2,3.24,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,1,0
89,74,yes,35,no,10.9,9,2.94,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,2,0
90,128,no,0,no,13.9,4,3.75,237.9,125,40.44,200.58032556270126,93,21.05,208.9,68,9.4,1,1
91,82,no,0,no,11.1,2,3.0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,1,0
92,155,no,0,no,8.9,4,2.4,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,0,1
93,80,no,0,no,7.9,9,2.13,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,1,0
94,78,no,0,no,9.5,7,2.57,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,3,0
95,90,no,0,no,10.6,7,2.86,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,3,0
96,104,no,0,no,9.8,5,2.65,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,1,0
97,73,no,0,no,13.0,4,3.51,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,0,0
98,99,no,0,no,8.7,3,2.35,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,4,0
99,120,no,0,no,5.3,5,1.43,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,1,1
100,77,no,0,no,9.8,7,2.65,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,2,1
101,98,yes,21,no,4.4,8,1.19,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4,0
102,108,no,0,no,14.6,5,3.94,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,0,0
103,135,no,0,no,10.5,6,2.84,151.7,82,25.79,200.58032556270126,105,10.12,180.0,100,8.1,0,0
104,95,no,0,no,12.5,9,3.38,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,1,0
105,122,no,0,no,11.3,2,3.05,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,1,0
106,95,no,0,no,11.8,4,3.19,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,4,0
107,36,yes,29,no,9.0,6,2.43,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,2,0
108,93,yes,21,no,9.8,3,2.65,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,1,0
109,141,yes,32,no,10.1,1,2.73,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,1,0
110,157,no,0,no,9.6,7,2.59,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,3,0
111,120,no,0,no,8.3,8,2.24,165.0,100,28.05,200.58032556270126,83,26.96,119.2,86,5.36,1,0
112,103,no,0,no,12.6,2,3.4,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,2,0
113,98,no,0,no,12.1,4,3.27,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,4,0
114,125,no,0,no,13.3,7,3.59,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,1,0
115,63,no,0,no,9.4,3,2.54,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,1,0
116,36,yes,42,yes,20.0,6,5.4,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,0,1
118,74,no,0,no,9.4,4,2.54,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,1,1
119,112,yes,36,no,10.0,3,2.7,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,2,0
120,97,no,0,no,8.7,5,2.35,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,2,0
121,46,no,0,no,13.1,7,3.54,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,1,0
122,41,yes,22,no,7.2,3,1.94,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,0,0
123,121,no,0,no,9.8,4,2.65,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,3,0
124,193,no,0,no,11.6,3,3.13,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,1,0
125,130,no,0,no,9.2,5,2.48,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,2,0
126,85,no,0,no,12.0,3,3.24,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,1,0
127,162,no,0,no,9.1,3,2.46,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,4,1
128,61,yes,27,no,6.4,6,1.73,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,4,1
129,92,no,0,no,9.2,4,2.48,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,2,0
130,131,yes,36,no,9.5,4,2.57,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,3,0
131,90,no,0,no,10.9,2,2.94,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,3,0
132,75,no,0,no,6.1,5,1.65,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,1,0
133,78,no,0,no,9.5,3,2.57,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,1,0
134,82,no,0,no,7.1,1,1.92,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,4,0
135,163,no,0,no,9.1,10,2.46,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,1,0
136,91,no,0,yes,11.2,3,3.02,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,3,0
137,75,yes,21,no,5.3,4,1.43,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5,0
138,91,no,0,no,12.0,3,3.24,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,3,0
139,127,yes,36,no,11.2,8,3.02,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,1,0
140,113,yes,23,no,10.2,5,2.75,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,2,0
141,110,no,0,no,12.4,3,3.35,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,1,0
142,120,yes,39,no,10.5,4,2.84,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,0,0
143,157,yes,28,no,6.8,5,1.84,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,3,0
145,117,no,0,yes,14.1,7,3.81,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,2,1
146,140,no,0,no,14.3,6,3.86,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,3,0
147,127,no,0,no,13.7,3,3.7,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,1,0
148,83,no,0,yes,11.7,4,3.16,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,1,0
149,121,no,0,no,8.5,5,2.3,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,1,0
151,113,no,0,no,10.6,6,2.86,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,1,0
152,117,no,0,no,10.1,7,2.73,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,1,0
153,65,no,0,no,7.5,6,2.03,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,1,0
156,151,no,0,no,9.8,4,2.65,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,0,0
157,83,no,0,no,15.8,7,4.27,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,0,1
158,139,yes,23,no,13.7,2,3.7,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,0,0
159,6,no,0,no,10.2,2,2.75,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,1,0
160,115,yes,24,no,9.6,4,2.59,142.1,124,24.16,200.58032556270126,129,15.59,164.8,114,7.42,1,0
161,87,no,0,no,7.1,5,1.92,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,0,0
162,141,no,0,no,12.0,6,3.24,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,0,0
163,141,yes,36,no,10.5,5,2.84,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,3,0
164,62,no,0,no,12.2,1,3.29,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,1,0
165,146,no,0,no,6.1,3,1.65,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,1,0
166,92,yes,33,no,12.1,2,3.27,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,2,0
167,185,yes,31,no,7.5,3,2.03,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,1,0
168,148,no,0,no,10.9,3,2.94,202.0,102,34.34,243.2,128,20.67,261.3,90,11.76,1,0
169,94,yes,38,no,12.8,4,3.46,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,1,0
170,32,no,0,no,6.3,2,1.7,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,0,0
171,68,no,0,no,13.2,2,3.56,237.1,105,40.31,223.5,105,19.0,97.4,79,4.38,1,0
172,64,yes,27,no,10.6,5,2.86,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,2,0
173,25,no,0,no,10.5,4,2.84,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,3,0
174,65,no,0,no,14.1,2,3.81,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,1,0
175,179,no,0,no,6.1,5,1.65,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,0,0
176,94,no,0,no,11.1,7,3.0,252.6,104,42.94,169.0,125,14.37,170.9,106,7.69,2,0
177,62,no,0,no,12.2,3,3.29,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,0,0
178,127,no,0,no,11.5,3,3.11,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,2,0
179,116,no,0,no,16.2,10,4.37,173.5,93,29.5,194.1,76,16.5,208.0,112,9.36,3,0
181,94,yes,23,yes,9.5,5,2.57,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,4,0
182,126,no,0,no,11.9,1,3.21,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,5,1
184,19,no,0,no,14.6,7,3.94,186.1,98,31.64,254.3,57,21.62,214.0,127,9.63,2,0
185,170,no,0,yes,8.4,3,2.27,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,3,0
188,93,no,0,no,10.9,3,2.94,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,2,0
189,164,no,0,no,9.0,3,2.43,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,1,0
190,51,no,0,no,9.1,3,2.46,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,1,0
191,107,no,0,no,8.9,4,2.4,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,0,0
192,130,no,0,no,9.5,2,2.57,176.9,109,30.07,90.7,104,7.71,238.0,69,10.71,1,0
193,80,no,0,no,8.8,4,2.38,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,2,0
194,94,no,0,no,13.4,2,3.62,137.5,118,23.38,203.2,88,17.27,150.0,131,6.75,0,0
195,118,yes,23,no,9.5,4,2.57,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,1,0
196,117,yes,23,no,6.8,6,1.84,198.1,86,33.68,177.0,86,15.05,180.5,92,8.12,1,0
197,78,no,0,no,9.7,8,2.62,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,0,0
198,208,no,0,no,10.7,6,2.89,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,2,1
199,131,yes,26,yes,13.8,7,3.73,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,4,1
200,63,no,0,no,13.0,3,3.51,83.0,64,14.11,177.0,106,15.05,245.7,89,11.06,0,0
201,53,yes,24,no,13.1,5,3.54,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,3,0
202,62,no,0,no,11.2,1,3.02,182.3,101,30.99,328.2,93,27.9,245.0,131,11.03,2,0
203,97,no,0,no,6.4,8,1.73,218.0,86,37.06,184.0,94,15.64,240.5,110,10.82,3,0
204,105,no,0,no,6.8,3,1.84,140.6,109,23.9,178.6,51,15.18,217.0,83,9.76,2,0
205,157,no,0,no,9.4,4,2.54,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,1,0
206,66,yes,36,no,12.1,2,3.27,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,1,0
207,122,no,0,no,13.7,8,3.7,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,2,0
208,38,no,0,no,10.8,5,2.92,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,3,0
209,106,no,0,no,12.2,5,3.29,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,3,0
210,99,no,0,no,15.8,7,4.27,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,3,0
211,99,no,0,no,11.6,10,3.13,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,1,0
213,82,yes,24,no,10.7,3,2.89,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,1,0
214,86,yes,31,no,12.2,6,3.29,167.6,139,28.49,113.0,118,9.61,246.9,121,11.11,1,0
215,70,no,0,yes,17.6,4,4.75,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,2,1
216,93,no,0,no,11.5,6,3.11,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,3,0
217,93,no,0,no,10.9,3,2.94,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,0,0
218,120,no,0,no,4.7,7,1.27,180.0,80,30.6,224.2,82,19.06,265.4,91,11.94,3,0
219,136,no,0,no,13.0,2,3.51,250.2,121,42.53,267.1,118,22.7,151.0,114,6.8,1,1
221,81,no,0,no,12.2,6,3.29,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,3,0
222,127,yes,22,no,10.2,6,2.75,166.0,114,28.22,174.5,103,14.83,244.9,68,11.02,1,0
223,65,no,0,no,4.4,2,1.19,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,1,0
224,35,no,0,no,8.9,6,2.4,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,2,0
225,88,no,0,no,13.8,1,3.73,65.4,97,11.12,168.2,76,14.3,236.0,113,10.62,2,0
227,123,no,0,no,7.7,2,2.08,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,3,0
228,126,yes,27,no,9.6,3,2.59,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,2,0
229,104,yes,23,no,13.3,3,3.59,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,4,0
230,45,yes,22,no,11.9,3,3.21,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,0,0
231,93,no,0,yes,10.5,2,2.84,312.0,109,53.04,129.4,100,11.0,217.6,74,9.79,0,1
232,63,yes,36,yes,11.0,6,2.97,199.0,110,33.83,200.58032556270126,111,24.76,197.6,92,8.89,1,0
233,100,no,0,no,13.5,2,3.65,203.1,96,34.53,217.0,126,18.45,180.9,122,8.14,3,0
234,53,no,0,no,10.9,2,2.94,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,0,0
235,92,no,0,yes,9.0,5,2.43,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,1,0
236,139,no,0,no,10.2,2,2.75,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,5,1
237,110,yes,40,no,9.0,9,2.43,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,2,0
238,110,no,0,no,9.8,7,2.65,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,3,0
240,73,no,0,no,9.4,6,2.54,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,1,0
241,138,no,0,no,12.9,5,3.48,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,0,0
242,137,no,0,yes,12.3,2,3.32,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,2,1
243,36,no,0,no,8.4,2,2.27,253.4,77,43.08,182.4,151,15.5,275.8,103,12.41,1,0
244,85,no,0,no,7.1,2,1.92,225.0,81,38.25,176.9,63,15.04,194.3,110,8.74,3,0
245,108,no,0,no,9.4,3,2.54,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,0,1
246,22,no,0,no,9.5,5,2.57,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,0,0
247,107,yes,37,no,11.1,3,3.0,60.0,102,10.2,102.2,80,8.69,261.8,106,11.78,0,0
248,51,no,0,no,10.2,5,2.75,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,0,0
249,94,no,0,no,9.2,2,2.48,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,4,0
250,119,yes,23,no,11.8,4,3.19,154.0,114,26.18,278.0,137,23.63,228.4,112,10.28,2,0
251,33,yes,29,no,13.9,11,3.75,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,4,1
252,106,no,0,no,14.4,7,3.89,207.9,91,35.34,172.0,109,14.62,191.8,143,8.63,4,0
253,82,no,0,no,9.1,8,2.46,207.0,90,35.19,232.9,83,19.8,172.4,108,7.76,3,0
254,86,yes,41,no,9.5,3,2.57,119.0,101,20.23,230.0,134,19.55,236.9,58,10.66,0,0
255,97,no,0,yes,10.9,3,2.94,143.7,117,24.43,200.58032556270126,82,23.21,178.3,81,8.02,0,0
256,106,yes,32,no,14.1,8,3.81,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,4,0
257,108,no,0,no,9.8,3,2.65,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,1,0
258,114,no,0,no,14.5,8,3.92,84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,1,0
259,92,no,0,yes,10.4,2,2.81,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,1,1
260,59,no,0,no,8.7,4,2.35,155.2,79,26.38,235.3,123,20.0,169.4,80,7.62,1,0
261,24,yes,25,no,6.7,9,1.81,164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,1,0
262,151,no,0,no,15.4,1,4.16,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,1,0
263,117,no,0,no,11.5,3,3.11,143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,1,0
264,78,no,0,no,12.5,1,3.38,168.3,110,28.61,221.2,73,18.8,241.0,136,10.85,1,0
265,155,no,0,no,8.3,6,2.24,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,2,0
266,114,yes,30,no,11.4,6,3.08,206.2,79,35.05,260.0,91,22.1,291.6,83,13.12,1,0
267,114,yes,28,no,8.4,9,2.27,225.8,94,38.39,193.0,117,16.41,232.4,100,10.46,4,0
268,119,no,0,no,13.5,6,3.65,138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,3,0
270,118,no,0,yes,9.9,3,2.67,160.0,123,27.2,175.4,96,14.91,184.8,99,8.32,2,0
271,101,no,0,no,14.6,3,3.94,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,0,0
272,117,no,0,no,7.7,3,2.08,134.7,121,22.9,180.0,83,15.3,200.9,104,9.04,1,0
274,139,no,0,no,13.0,3,3.51,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,3,0
275,92,yes,28,no,10.0,3,2.7,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,1,0
